Preferred Sample Id,class_id
GC-76-BK38,901c99ed-fdc7-444e-aaa6-014f5162f974
IA-03-NB39,901c99ed-fdc7-444e-aaa6-014f5162f974
ZA-67-QO28,901c99ed-fdc7-444e-aaa6-014f5162f974
FD-19-BJ28,901c99ed-fdc7-444e-aaa6-014f5162f974
OE-75-OI80,901c99ed-fdc7-444e-aaa6-014f5162f974
MC-40-FZ84,901c99ed-fdc7-444e-aaa6-014f5162f974
GD-53-GS80,901c99ed-fdc7-444e-aaa6-014f5162f974
CC-49-UG81,901c99ed-fdc7-444e-aaa6-014f5162f974
YC-54-CJ84,901c99ed-fdc7-444e-aaa6-014f5162f974
YF-83-RP86,901c99ed-fdc7-444e-aaa6-014f5162f974
TB-48-OJ39,901c99ed-fdc7-444e-aaa6-014f5162f974
BC-33-VC42,901c99ed-fdc7-444e-aaa6-014f5162f974
NB-07-TD18,901c99ed-fdc7-444e-aaa6-014f5162f974
DA-83-PP98,901c99ed-fdc7-444e-aaa6-014f5162f974
PB-72-MJ10,901c99ed-fdc7-444e-aaa6-014f5162f974
BD-21-ZO81,901c99ed-fdc7-444e-aaa6-014f5162f974
QC-99-MH47,901c99ed-fdc7-444e-aaa6-014f5162f974
RC-08-UN44,901c99ed-fdc7-444e-aaa6-014f5162f974
FA-01-NR43,901c99ed-fdc7-444e-aaa6-014f5162f974
XF-97-OI49,901c99ed-fdc7-444e-aaa6-014f5162f974
PA-98-MD45,901c99ed-fdc7-444e-aaa6-014f5162f974
VF-73-DT11,901c99ed-fdc7-444e-aaa6-014f5162f974
ZA-60-AD10,901c99ed-fdc7-444e-aaa6-014f5162f974
DD-55-ZU15,901c99ed-fdc7-444e-aaa6-014f5162f974
HB-14-VM13,901c99ed-fdc7-444e-aaa6-014f5162f974
PE-10-RI13,901c99ed-fdc7-444e-aaa6-014f5162f974
HB-77-FO10,901c99ed-fdc7-444e-aaa6-014f5162f974
TE-23-IQ44,901c99ed-fdc7-444e-aaa6-014f5162f974
HC-05-QQ40,901c99ed-fdc7-444e-aaa6-014f5162f974
RA-27-XT46,901c99ed-fdc7-444e-aaa6-014f5162f974
HE-92-JR30,901c99ed-fdc7-444e-aaa6-014f5162f974
RD-00-BE13,901c99ed-fdc7-444e-aaa6-014f5162f974
MA-12-NN70,901c99ed-fdc7-444e-aaa6-014f5162f974
XF-50-DD10,901c99ed-fdc7-444e-aaa6-014f5162f974
FD-60-ZG14,901c99ed-fdc7-444e-aaa6-014f5162f974
UB-37-NZ40,901c99ed-fdc7-444e-aaa6-014f5162f974
HE-07-IO25,901c99ed-fdc7-444e-aaa6-014f5162f974
HC-99-XM15,901c99ed-fdc7-444e-aaa6-014f5162f974
HC-61-WK11,901c99ed-fdc7-444e-aaa6-014f5162f974
FC-43-UI66,901c99ed-fdc7-444e-aaa6-014f5162f974
VE-65-SA20,901c99ed-fdc7-444e-aaa6-014f5162f974
QE-98-ZX78,901c99ed-fdc7-444e-aaa6-014f5162f974
PB-86-NF30,901c99ed-fdc7-444e-aaa6-014f5162f974
HC-94-QF36,901c99ed-fdc7-444e-aaa6-014f5162f974
ND-59-EY13,901c99ed-fdc7-444e-aaa6-014f5162f974
