Preferred Sample Id,class_id
GC-76-BK38,dc027c73-58cd-4f8e-aab2-659147b8eef1
IA-03-NB39,dc027c73-58cd-4f8e-aab2-659147b8eef1
ZA-67-QO28,dc027c73-58cd-4f8e-aab2-659147b8eef1
FD-19-BJ28,dc027c73-58cd-4f8e-aab2-659147b8eef1
OE-75-OI80,dc027c73-58cd-4f8e-aab2-659147b8eef1
MC-40-FZ84,dc027c73-58cd-4f8e-aab2-659147b8eef1
GD-53-GS80,dc027c73-58cd-4f8e-aab2-659147b8eef1
CC-49-UG81,dc027c73-58cd-4f8e-aab2-659147b8eef1
YC-54-CJ84,dc027c73-58cd-4f8e-aab2-659147b8eef1
YF-83-RP86,dc027c73-58cd-4f8e-aab2-659147b8eef1
TB-48-OJ39,dc027c73-58cd-4f8e-aab2-659147b8eef1
BC-33-VC42,dc027c73-58cd-4f8e-aab2-659147b8eef1
NB-07-TD18,dc027c73-58cd-4f8e-aab2-659147b8eef1
DA-83-PP98,dc027c73-58cd-4f8e-aab2-659147b8eef1
PB-72-MJ10,dc027c73-58cd-4f8e-aab2-659147b8eef1
BD-21-ZO81,dc027c73-58cd-4f8e-aab2-659147b8eef1
QC-99-MH47,dc027c73-58cd-4f8e-aab2-659147b8eef1
RC-08-UN44,dc027c73-58cd-4f8e-aab2-659147b8eef1
FA-01-NR43,dc027c73-58cd-4f8e-aab2-659147b8eef1
XF-97-OI49,dc027c73-58cd-4f8e-aab2-659147b8eef1
PA-98-MD45,dc027c73-58cd-4f8e-aab2-659147b8eef1
VF-73-DT11,dc027c73-58cd-4f8e-aab2-659147b8eef1
ZA-60-AD10,dc027c73-58cd-4f8e-aab2-659147b8eef1
DD-55-ZU15,dc027c73-58cd-4f8e-aab2-659147b8eef1
HB-14-VM13,dc027c73-58cd-4f8e-aab2-659147b8eef1
PE-10-RI13,dc027c73-58cd-4f8e-aab2-659147b8eef1
HB-77-FO10,dc027c73-58cd-4f8e-aab2-659147b8eef1
TE-23-IQ44,dc027c73-58cd-4f8e-aab2-659147b8eef1
HC-05-QQ40,dc027c73-58cd-4f8e-aab2-659147b8eef1
RA-27-XT46,dc027c73-58cd-4f8e-aab2-659147b8eef1
HE-92-JR30,dc027c73-58cd-4f8e-aab2-659147b8eef1
RD-00-BE13,dc027c73-58cd-4f8e-aab2-659147b8eef1
MA-12-NN70,dc027c73-58cd-4f8e-aab2-659147b8eef1
XF-50-DD10,dc027c73-58cd-4f8e-aab2-659147b8eef1
FD-60-ZG14,dc027c73-58cd-4f8e-aab2-659147b8eef1
UB-37-NZ40,dc027c73-58cd-4f8e-aab2-659147b8eef1
