Preferred Sample Id,class_id
FE-26-NA84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
VA-57-MS38,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
LB-87-IN07,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
LE-36-NT84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
PF-36-IP24,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DF-71-IR03,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
NF-42-BQ32,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
JE-18-EE28,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RE-45-NO84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
HE-82-TR05,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
XF-45-CD82,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
NC-48-GK82,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
JC-07-DU74,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
HC-44-CZ04,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
PD-26-JZ88,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
ZA-43-FS23,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RB-84-DU81,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
TF-41-BL32,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
VC-45-UA30,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
LF-16-IT24,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
JA-87-TU09,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
FD-85-BG01,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
TF-25-CH82,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DF-88-RZ84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RD-46-YS86,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
XA-09-LT70,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
PA-56-MZ38,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DB-21-IH29,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
FE-46-NA84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
LF-35-CP82,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DA-88-FF01,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RD-27-JW88,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
ZA-09-ZM78,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
BD-39-QQ20,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
JF-41-QQ30,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
JA-88-FY01,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RB-00-XO27,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
ZA-57-MO38,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
NF-41-QM30,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
FA-87-TY09,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
PE-28-EX28,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
HC-30-MT25,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
HE-43-MB34,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
BF-99-CG86,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
VF-41-QE30,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
HC-99-QP77,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RB-01-IS29,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
JA-23-UE21,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
BC-06-SY72,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
ZF-36-CA82,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
FD-98-UI73,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
ZE-43-MI34,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
PF-24-RH80,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RE-35-NO84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
FF-24-CW82,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
